old_id,new_id,old_index,new_index,old_damage_gra,new_damage_gra,old_damage_percent,new_damage_percent,old_geometry_hash,new_geometry_hash,iou,overlap_m2,centroid_distance_m,old_area_m2,new_area_m2,area_ratio,old_centroid_lat,old_centroid_lon,new_centroid_lat,new_centroid_lon,has_before_after_vlm,vlm_reuse_eligible,remap_action,notes
ems_00001,aoi12_v2_00001,1,1,Possibly damaged,Possibly damaged,35,35,cda8f5fb0746854ec1755925f51f72be7c8ae403109b6b69df05d25f60b0b864,1d1566c4b83a78bc8f2f9b5e5f263b82ba2862f2417e0bfc3d41726f85d25513,1.0,19504.145,0.0,19504.145,19504.145,1.0,10.584228947201945,-67.08351862028094,10.584228947201945,-67.08351862028094,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00002,aoi12_v2_00003,2,3,Possibly damaged,Possibly damaged,35,35,4a8da8ea659c82beee63762131ff8492e1ac0bb2b1f213cd1a1866e33a02dd56,6b9f4f9020bdf122aca6d7006e1f9298de20b468ffcdafe5acc583e2d400bee3,1.0,74743.684,0.0,74743.684,74743.684,1.0,10.589473881752264,-67.05064221504308,10.589473881752264,-67.05064221504308,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00003,aoi12_v2_00006,3,6,Damaged,Damaged,70,70,57061b03586a90c431a348010658f27a9d693e9f9116d82e6008b413ed04188a,8936c92634843859ca17f7a242910d3247de9a00a418f26bec20988eec99c9dd,1.0,6914.949,0.0,6914.949,6914.949,1.0,10.601853180940667,-67.03131461298214,10.601853180940667,-67.03131461298214,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00004,aoi12_v2_00008,4,8,Damaged,Damaged,70,70,8d6e1fe86b0d8f1980f24631ac723c3db2fa6b4bea3675af10e7bb181bcf42f7,e30f4f5bab72bca67f93bebaa0c1c5b0b5e3532b5a1e99569bca3ea4cf373a7f,1.0,5347.587,0.0,5347.587,5347.587,1.0,10.602177776205584,-67.02997630491126,10.602177776205584,-67.02997630491126,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00005,aoi12_v2_00014,5,14,Possibly damaged,Possibly damaged,35,35,26a72722c37170092fdd21a2fbc15161804f6d9ffdbe3767d5a492e803f04525,7ded0ad71a7e57f46aa6f1b58728eba0a3dae2805d39b1cd5682edff37a07bc2,1.0,7842.029,0.0,7842.029,7842.029,1.0,10.602353711264984,-67.02463527738031,10.602353711264984,-67.02463527738031,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00006,aoi12_v2_00009,6,9,Damaged,Damaged,70,70,46c4926d41b9b64223b51293ca0885fb1ab2dfbb9404ee23b38e494d9d23fc42,9da8de02755bc53a8abb0ea8a00737b0eae40df1e173b266a76cf115353e5d80,1.0,8771.728,0.0,8771.728,8771.728,1.0,10.602848724061703,-67.03043085093012,10.602848724061703,-67.03043085093012,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00007,aoi12_v2_00010,7,10,Damaged,Damaged,70,70,04b50aa5d3d519a6799389073e7fcae5df27001dee83336b30ab6f4584b5a7a9,59beded47d7992ba933feecef1974b83156771ea8619ae24be26e0868ddcd803,1.0,9456.189,0.0,9456.189,9456.189,1.0,10.603000984366641,-67.02962615502722,10.603000984366641,-67.02962615502722,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00008,aoi12_v2_00017,8,17,Damaged,Damaged,70,70,ae66f0398bb19fd7f80d71783395a85ec8a8a3ee24a8ee83f53342bf1ff12630,7ffe8f9537455bbb52800806ec11eb2d5aae1f798d4ba5b20c153c91ea4f9d48,1.0,7022.387,0.0,7022.387,7022.387,1.0,10.603054412452506,-67.02652555545997,10.603054412452506,-67.02652555545997,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00009,aoi12_v2_00018,9,18,Damaged,Damaged,70,70,97738b27e8441cdf8d9713cf87d14ec1f623bc20ed69f77bd5961fd8d581b094,b51d714d45883838082d4558fa5636521f52c3018514759a0a5827a97468b833,1.0,7277.815,0.0,7277.815,7277.815,1.0,10.603483200315148,-67.02779386363517,10.603483200315148,-67.02779386363517,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00010,aoi12_v2_00021,10,21,Damaged,Damaged,70,70,ac7f4f55b87d23682a0bfa194ce4c8b931c8835f9ae99d318fbb734a362a33a9,390f133a6621f99f0769cf63f36b541edb62137b083e20298851a66214b171c4,1.0,4808.686,0.0,4808.686,4808.686,1.0,10.603642664034444,-67.0300214833107,10.603642664034444,-67.0300214833107,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00011,aoi12_v2_00019,11,19,Damaged,Damaged,70,70,0156e7eb9939becbc11bf9bba1b1f94aacba24e37bb5272a5f6b871ed2930036,86e090d01e6af631b90d1ad4e74b8bbc1b254161d5960c20429f9bbc9bbfeba0,1.0,203539.194,0.0,203539.194,203539.194,1.0,10.60490767319944,-67.0220977731317,10.60490767319944,-67.0220977731317,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00012,aoi12_v2_00020,12,20,Damaged,Damaged,70,70,c7cd4ed3828b1f9d0951a6eeb59d64436fc1f65c3f91391c64d90731d09accb8,ffc3bf61a9be3cfe609f4ed845e17354e9b0febb52943dbd877c634a4199dc19,1.0,11206.503,0.0,11206.503,11206.503,1.0,10.606029423120768,-67.02170294427097,10.606029423120768,-67.02170294427097,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00013,aoi12_v2_00041,13,41,Damaged,Damaged,70,70,88f1ebc44e53cbb5f0346a6bb114a48f65f2699dfd1688624005995c409bc6d2,47e8553fb702a5d83376205c569756a4c9d499bcbfa9cac1b53f858e346620d2,1.0,27783.29,0.0,27783.29,27783.29,1.0,10.60605656206827,-67.0230956099657,10.60605656206827,-67.0230956099657,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00014,aoi12_v2_00043,14,43,Damaged,Damaged,70,70,4d6e8c7b6859ec9d4c9619ba1817608116d74838c59194dc5b31ec65eae94855,e98faa08a140fceb710795ef4a62021421d0c69df1fbd43ad465cf4c1aa28849,1.0,19507.632,0.0,19507.632,19507.632,1.0,10.606415695766664,-67.02084941049914,10.606415695766664,-67.02084941049914,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00015,aoi12_v2_00044,15,44,Damaged,Damaged,70,70,33ad8bbf6e3231752daad2078e88fc0ae189180c6137a4a4c9dc10e14543d19a,908589188e93abb0a1d9f9ac425e0a74fb21fc11aadb30ed24b3b0feea39ac6e,1.0,5214.094,0.0,5214.094,5214.094,1.0,10.607032310224275,-67.0217346844302,10.607032310224275,-67.0217346844302,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00016,aoi12_v2_00045,16,45,Damaged,Damaged,70,70,8a683421de33a7b7e8177d0bc14a8df7680b82dc244ae5e3da1f1977afb21f1f,cf157eeac3e263bfbf5d5009ab2debea994b9aa06b6e09e33eafcce11857dc25,1.0,15012.506,0.0,15012.506,15012.506,1.0,10.607123379742212,-67.01885055382837,10.607123379742212,-67.01885055382837,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00017,aoi12_v2_00048,17,48,Damaged,Damaged,70,70,9900a86f0224c996f08608916d56563d4df991b7c69fca39c89232dfe2f65899,15b1eb546e76b398d2ed476d6eddfd446ad7ea03756a0918ebb7b89b067b8702,1.0,7706.304,0.0,7706.304,7706.304,1.0,10.607315336044735,-67.01587814639706,10.607315336044735,-67.01587814639706,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00018,aoi12_v2_00049,18,49,Possibly damaged,Possibly damaged,35,35,9a85ebcff1aed9e7b816140856b805167ffc7cc130aef19fb7fa2bd423c2d90d,90901efd4bad9901066b756b482bc88b91b65b3a4742c7c6b47355e6b6f9fd33,1.0,15317.667,0.0,15317.667,15317.667,1.0,10.607965758188639,-67.01886017730195,10.607965758188639,-67.01886017730195,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00019,aoi12_v2_00053,19,53,Damaged,Damaged,70,70,ffd685c3dbd5e915f1d1328c3b5c851b0fb0971bb7b135e944aa83b28228fd2c,185e90b3938af0908cd6a7a101ecd328b3a570fd375341b43899854828871013,1.0,139426.554,0.0,139426.554,139426.554,1.0,10.608307570467728,-67.00747197314834,10.608307570467728,-67.00747197314834,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00020,aoi12_v2_00061,20,61,Damaged,Damaged,70,70,7b2df39e615cf4fd66f8398c860fdeea9b781517b593c2ac4efc523f60db48d6,2cf59b7e42ea5c5509bcb3f4389b788dd9e4efe0c1b0fcd823928589d53b0b62,1.0,34996.083,0.0,34996.083,34996.083,1.0,10.608112368007511,-67.02268119932339,10.608112368007511,-67.02268119932339,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00021,aoi12_v2_00022,21,22,Damaged,Damaged,70,70,c4953892546c7ae14d67d4498e1c89b956b50c44894cb4c5cf60cba4d049b2ee,6d8a1cb16af88353d9a5c691ee7763d9abc82b1fad19e57c022dd8e90e6fa535,1.0,5541.246,0.0,5541.246,5541.246,1.0,10.603673744774142,-67.03177661270237,10.603673744774142,-67.03177661270237,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00022,aoi12_v2_00025,22,25,Damaged,Damaged,70,70,738162a02a5903aefa434a521dbeefc159f8f0fbb1ca8a85e5a57010ce7ae093,63f5af1a474f2be3443c7f6e5c093ec1f785c35e45820175c3ad6648c70df404,1.0,5866.942,0.0,5866.942,5866.942,1.0,10.603892635780802,-67.0289868531801,10.603892635780802,-67.0289868531801,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00023,aoi12_v2_00026,23,26,Possibly damaged,Possibly damaged,35,35,fafc7b3cd31ec21d6a42d9a71cb1e5c5815a0b41add388bc35b57e4c944a61b5,5dbbcc55a16771478dd8ea479b0ab6f160b4f012371a3fc1f62611672d779187,1.0,6494.227,0.0,6494.227,6494.227,1.0,10.603995899107723,-67.03059873348374,10.603995899107723,-67.03059873348374,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00024,aoi12_v2_00027,24,27,Damaged,Damaged,70,70,a906df1d1b6ce5db25c81c51bf341d6ae96aff4347b2bc03b8eabbf0a1fd5614,54cefd9c766165470f1b2ae007fc5ced52581d27ae8f539dd63b45db73895956,1.0,8139.431,0.0,8139.431,8139.431,1.0,10.604292929232976,-67.02942549338852,10.604292929232976,-67.02942549338852,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
