aoiCode,aoiName,coverageClass,product,productStatusCode,sensorType,sensor,resolutionClass,acquisitionUtc,distinctAcquisitionId,cogUrl,httpStatus,publiclyReadable,bytes,acceptRanges,productDownloadUrl
AOI00,Central Coastal Venezuela,regional-sar,GRM_PRODUCT,F,sar,Sentinel-1,HR+,2026-06-25T22:42:00,212ca3a1fe229e5d,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_SENTINEL1_20260625_2242_ORTHO_cog.tif,403,False,0,,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_v2.zip
AOI00,Central Coastal Venezuela,regional-sar,GRM_PRODUCT,F,sar,Sentinel-1,HR+,2026-06-24T22:49:00,268edf99055065dd,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_SENTINEL1_20260624_2249_ORTHO_cog.tif,403,False,0,,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_v2.zip
AOI01,Petare,local-vhr-optical,GRA_PRODUCT,N,optical,Legion,VHR1,2026-06-27T13:48:00,dc3626b27a871bde,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI01/GRA_PRODUCT/EMSR884_AOI01_GRA_PRODUCT_LEGION_20260627_1348_ORTHO_cog.tif,200,True,540730695,bytes,
AOI02,Caracas,local-vhr-optical,GRA_PRODUCT,F,optical,Pleiades Neo,VHR1,2026-06-25T14:59:00,b706279916ece0f1,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,200,True,188120283,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_v1.zip
AOI02,Caracas,local-vhr-optical,GRA_MONIT01,F,optical,Pleiades Neo,VHR1,2026-06-26T15:19:00,8cd6ab9dc136b878,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_PNEO_20260626_1519_ORTHO_cog.tif,200,True,308430340,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_v2.zip
AOI03,Antimano,local-vhr-optical,GRA_PRODUCT,N,optical,Legion,VHR1,2026-06-25T15:17:00,62ca0ff1ce812757,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI03/GRA_PRODUCT/EMSR884_AOI03_GRA_PRODUCT_LEGION_20260625_1517_ORTHO_cog.tif,200,True,267288991,bytes,
AOI04,Maracay,local-vhr-optical,GRA_PRODUCT,N,optical,WorldView-3,VHR1,2026-06-27T15:30:00,53dd2c77554cab5d,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI04/GRA_PRODUCT/EMSR884_AOI04_GRA_PRODUCT_WORLDVIEW3_20260627_1530_ORTHO_cog.tif,200,True,135509892,bytes,
AOI05,Santa Cruz,local-vhr-optical,GRA_PRODUCT,F,optical,WorldView-3,VHR1,2026-06-26T15:10:00,7decc78a0b50eda3,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_WORLDVIEW3_20260626_1510_ORTHO_cog.tif,200,True,377353322,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_v1.zip
AOI05,Santa Cruz,local-vhr-optical,GRA_MONIT01,N,optical,WorldView-3,VHR1,2026-06-27T15:30:00,bce6be9964591a95,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_MONIT01/EMSR884_AOI05_GRA_MONIT01_WORLDVIEW3_20260627_1530_ORTHO_cog.tif,200,True,54153495,bytes,
AOI06,Moron,local-vhr-optical,GRA_MONIT01,F,optical,Legion,VHR1,2026-06-26T15:11:00,94e09f139b8d5d22,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_LEGION_20260626_1511_ORTHO_cog.tif,200,True,258847448,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_v2.zip
AOI06,Moron,local-vhr-optical,GRA_PRODUCT,F,optical,Legion,VHR1,2026-06-25T20:36:00,9a4226b4592a1329,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_LEGION_20260625_2036_ORTHO_cog.tif,200,True,311844612,bytes,https://rapidmapping.emergency.copernicus.eu/backend/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_v1.zip
AOI07,Puerto Cabello,local-vhr-optical,GRA_PRODUCT,N,optical,Legion,VHR1,2026-06-26T14:03:00,b7843836f17fbe1a,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI07/GRA_PRODUCT/EMSR884_AOI07_GRA_PRODUCT_LEGION_20260626_1403_ORTHO_cog.tif,200,True,470258272,bytes,
AOI07,Puerto Cabello,local-vhr-optical,GRA_MONIT01,N,optical,Legion,VHR1,2026-06-27T15:16:00,5fb12cb952d6f0cf,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI07/GRA_MONIT01/EMSR884_AOI07_GRA_MONIT01_LEGION_20260627_1516_ORTHO_cog.tif,200,True,718023496,bytes,
