checked_at,activation_code,aoi_number,aoi_name,product_key,product_type,version_number,status_code,layer_name,layer_format,sld_url,json_url
20260630T074707Z,EMSR884,0,Central Coastal Venezuela,AOI00_GRM_v2,GRM,2,F,EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_groundMovementA_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_groundMovementA_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_groundMovementA_v2.json
20260630T074707Z,EMSR884,0,Central Coastal Venezuela,AOI00_GRM_v2,GRM,2,F,EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_notAnalysedA_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_notAnalysedA_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_notAnalysedA_v2.json
20260630T074707Z,EMSR884,1,Petare,AOI01_GRA_v1,GRA,1,N,EMSR884/AOI01/GRA_PRODUCT/EMSR884_AOI01_GRA_PRODUCT_LEGION_20260627_1348_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_v1,GRA,1,F,EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_v1,GRA,1,F,EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_builtUpA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_builtUpA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_builtUpA_v1.json
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_v1,GRA,1,F,EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_notAnalysedA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_notAnalysedA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_notAnalysedA_v1.json
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_v1,GRA,1,F,EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_transportationL_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_transportationL_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_transportationL_v1.json
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_PNEO_20260626_1519_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_ancillaryCrisisInfoP_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_ancillaryCrisisInfoP_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_ancillaryCrisisInfoP_v1.json
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_builtUpP_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_builtUpP_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_builtUpP_v1.json
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_notAnalysedA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_notAnalysedA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_notAnalysedA_v1.json
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_transportationL_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_transportationL_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_transportationL_v1.json
20260630T074707Z,EMSR884,3,Antimano,AOI03_GRA_v1,GRA,1,N,EMSR884/AOI03/GRA_PRODUCT/EMSR884_AOI03_GRA_PRODUCT_LEGION_20260625_1517_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,4,Maracay,AOI04_GRA_v1,GRA,1,N,EMSR884/AOI04/GRA_PRODUCT/EMSR884_AOI04_GRA_PRODUCT_WORLDVIEW3_20260627_1530_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,5,Santa Cruz,AOI05_GRA_v1,GRA,1,F,EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_WORLDVIEW3_20260626_1510_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,5,Santa Cruz,AOI05_GRA_v1,GRA,1,F,EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_builtUpP_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_builtUpP_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_builtUpP_v1.json
20260630T074707Z,EMSR884,5,Santa Cruz,AOI05_GRA_v1,GRA,1,F,EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_transportationL_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_transportationL_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_transportationL_v1.json
20260630T074707Z,EMSR884,5,Santa Cruz,AOI05_GRA_MONIT01_v1,GRA,1,N,EMSR884/AOI05/GRA_MONIT01/EMSR884_AOI05_GRA_MONIT01_WORLDVIEW3_20260627_1530_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_LEGION_20260626_1511_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_builtUpP_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_builtUpP_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_builtUpP_v1.json
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_notAnalysedA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_notAnalysedA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_notAnalysedA_v1.json
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_transportationL_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_transportationL_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_transportationL_v1.json
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_v1,GRA,1,F,EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_LEGION_20260625_2036_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_v1,GRA,1,F,EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_builtUpA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_builtUpA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_builtUpA_v1.json
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_v1,GRA,1,F,EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_notAnalysedA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_notAnalysedA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_notAnalysedA_v1.json
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_v1,GRA,1,F,EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_transportationL_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_transportationL_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_PRODUCT/EMSR884_AOI06_GRA_PRODUCT_transportationL_v1.json
20260630T074707Z,EMSR884,7,Puerto Cabello,AOI07_GRA_v1,GRA,1,N,EMSR884/AOI07/GRA_PRODUCT/EMSR884_AOI07_GRA_PRODUCT_LEGION_20260626_1403_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,7,Puerto Cabello,AOI07_GRA_MONIT01_v1,GRA,1,N,EMSR884/AOI07/GRA_MONIT01/EMSR884_AOI07_GRA_MONIT01_LEGION_20260627_1516_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_LEGION_20260625_2037_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_PNEO_20260625_1500_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_builtUpA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_builtUpA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_builtUpA_v1.json
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_notAnalysedA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_notAnalysedA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_notAnalysedA_v1.json
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_v1,GRA,1,F,EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_transportationL_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_transportationL_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_PRODUCT/EMSR884_AOI08_GRA_PRODUCT_transportationL_v1.json
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_LEGION_20260626_2020_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_PNEO_20260626_1518_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_builtUpP_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_builtUpP_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_builtUpP_v1.json
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_notAnalysedA_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_notAnalysedA_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_notAnalysedA_v1.json
20260630T074707Z,EMSR884,8,San Felipe,AOI08_GRA_MONIT01_v2,GRA,2,F,EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_transportationL_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_transportationL_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI08/GRA_MONIT01/EMSR884_AOI08_GRA_MONIT01_transportationL_v2.json
20260630T074707Z,EMSR884,9,Valencia,AOI09_GRA_v1,GRA,1,N,EMSR884/AOI09/GRA_PRODUCT/EMSR884_AOI09_GRA_PRODUCT_LEGION_20260626_1404_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,10,Guacara,AOI10_GRA_v1,GRA,1,N,EMSR884/AOI10/GRA_PRODUCT/EMSR884_AOI10_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,11,Villa de Cura,AOI11_GRA_v1,GRA,1,N,EMSR884/AOI11/GRA_PRODUCT/EMSR884_AOI11_GRA_PRODUCT_PNEO_20260626_1519_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_v2,GRA,2,F,EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_LEGION_20260626_1510_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_v2,GRA,2,F,EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_builtUpA_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_builtUpA_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_builtUpA_v2.json
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_v2,GRA,2,F,EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_notAnalysedA_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_notAnalysedA_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_notAnalysedA_v2.json
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_v2,GRA,2,F,EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_transportationA_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_transportationA_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_transportationA_v2.json
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_v2,GRA,2,F,EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_transportationL_v2_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_transportationL_v2.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_PRODUCT/EMSR884_AOI12_GRA_PRODUCT_transportationL_v2.json
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_MONIT01_v1,GRA,1,F,EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_LEGION_20260626_1510_ORTHO_cog.tif,cog,,
20260630T074707Z,EMSR884,12,Caraballeda,AOI12_GRA_MONIT01_v1,GRA,1,F,EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_ancillaryCrisisInfoP_v1_VT,vt,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_ancillaryCrisisInfoP_v1.sld,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI12/GRA_MONIT01/EMSR884_AOI12_GRA_MONIT01_ancillaryCrisisInfoP_v1.json
