checked_at,activation_code,aoi_number,aoi_name,product_key,product_type,version_number,status_code,image_uuid,image_new,sensor_type,sensor_name,resolution_class,acquisition_time,file_name,cog_url,http_status,content_type,content_length,accept_ranges,range_status,range_ok,official_status,should_use_for_building_vlm,use_case,error
20260630T074707Z,EMSR884,0,Central Coastal Venezuela,AOI00_GRM_v2,GRM,2,F,47ba3f6f-af12-4159-8ec1-03df9f36eea7,False,sar,Sentinel-1,HR+,2026-06-25T22:42:00,EMSR884_AOI00_GRM_PRODUCT_SENTINEL1_20260625_2242_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_SENTINEL1_20260625_2242_ORTHO_cog.tif,,,,,,False,official_ems,no,sar_context_only,HTTP Error 403: Forbidden
20260630T074707Z,EMSR884,0,Central Coastal Venezuela,AOI00_GRM_v2,GRM,2,F,7b0582a7-28cb-4be1-a72a-01c1e8327c55,False,sar,Sentinel-1,HR+,2026-06-24T22:49:00,EMSR884_AOI00_GRM_PRODUCT_SENTINEL1_20260624_2249_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI00/GRM_PRODUCT/EMSR884_AOI00_GRM_PRODUCT_SENTINEL1_20260624_2249_ORTHO_cog.tif,,,,,,False,official_ems,no,sar_context_only,HTTP Error 403: Forbidden
20260630T074707Z,EMSR884,1,Petare,AOI01_GRA_v1,GRA,1,N,68e44fab-3b82-40c7-a5fe-9d5f3aa7df64,True,optical,Legion,VHR1,2026-06-27T13:48:00,EMSR884_AOI01_GRA_PRODUCT_LEGION_20260627_1348_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI01/GRA_PRODUCT/EMSR884_AOI01_GRA_PRODUCT_LEGION_20260627_1348_ORTHO_cog.tif,200,binary/octet-stream,540730695,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_v1,GRA,1,F,7002519b-14a5-4c25-a329-c42a7d2ca42a,True,optical,Pleiades Neo,VHR1,2026-06-25T14:59:00,EMSR884_AOI02_GRA_PRODUCT_PNEO_20260625_1459_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_PRODUCT/EMSR884_AOI02_GRA_PRODUCT_PNEO_20260625_1459_ORTHO_cog.tif,200,binary/octet-stream,188120283,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,2,Caracas,AOI02_GRA_MONIT01_v2,GRA,2,F,9ab2cc0d-4742-4c23-8349-077d465757c4,True,optical,Pleiades Neo,VHR1,2026-06-26T15:19:00,EMSR884_AOI02_GRA_MONIT01_PNEO_20260626_1519_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI02/GRA_MONIT01/EMSR884_AOI02_GRA_MONIT01_PNEO_20260626_1519_ORTHO_cog.tif,200,binary/octet-stream,308430340,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,3,Antimano,AOI03_GRA_v1,GRA,1,N,f49d9294-1b95-4cc0-80df-c7301fd8b338,True,optical,Legion,VHR1,2026-06-25T15:17:00,EMSR884_AOI03_GRA_PRODUCT_LEGION_20260625_1517_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI03/GRA_PRODUCT/EMSR884_AOI03_GRA_PRODUCT_LEGION_20260625_1517_ORTHO_cog.tif,200,binary/octet-stream,267288991,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,4,Maracay,AOI04_GRA_v1,GRA,1,N,98d30358-4cff-46ec-a2f7-8b4060e248b3,True,optical,WorldView-3,VHR1,2026-06-27T15:30:00,EMSR884_AOI04_GRA_PRODUCT_WORLDVIEW3_20260627_1530_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI04/GRA_PRODUCT/EMSR884_AOI04_GRA_PRODUCT_WORLDVIEW3_20260627_1530_ORTHO_cog.tif,200,binary/octet-stream,135509892,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,5,Santa Cruz,AOI05_GRA_v1,GRA,1,F,a632605f-da3f-41d2-a497-8d703e68e427,False,optical,WorldView-3,VHR1,2026-06-26T15:10:00,EMSR884_AOI05_GRA_PRODUCT_WORLDVIEW3_20260626_1510_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_PRODUCT/EMSR884_AOI05_GRA_PRODUCT_WORLDVIEW3_20260626_1510_ORTHO_cog.tif,200,binary/octet-stream,377353322,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,5,Santa Cruz,AOI05_GRA_MONIT01_v1,GRA,1,N,0a280ea8-12fa-41bd-88da-4385fc14d359,True,optical,WorldView-3,VHR1,2026-06-27T15:30:00,EMSR884_AOI05_GRA_MONIT01_WORLDVIEW3_20260627_1530_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI05/GRA_MONIT01/EMSR884_AOI05_GRA_MONIT01_WORLDVIEW3_20260627_1530_ORTHO_cog.tif,200,binary/octet-stream,54153495,bytes,206,True,official_ems_imagery_for_not_produced_aoi,conditional,post_event_optical_chip_source,
20260630T074707Z,EMSR884,6,Moron,AOI06_GRA_MONIT01_v2,GRA,2,F,74f8b6b3-b74a-420f-893b-09fab0e4dcaa,True,optical,Legion,VHR1,2026-06-26T15:11:00,EMSR884_AOI06_GRA_MONIT01_LEGION_20260626_1511_ORTHO.tif,https://rapidmapping-viewer.s3.eu-west-1.amazonaws.com/EMSR884/AOI06/GRA_MONIT01/EMSR884_AOI06_GRA_MONIT01_LEGION_20260626_1511_ORTHO_cog.tif,200,binary/octet-stream,258847448,bytes,206,True,official_ems,conditional,post_event_optical_chip_source,
