product_key,download_filename,gpkg_member,layer_name,geometry,feature_count,sqlite_row_count,extent,damage_counts_json,ogr_error
AOI00_GRM_v2,EMSR884_AOI00_GRM_PRODUCT_v2.zip,EMSR884_AOI00_GRM_PRODUCT_v2.gpkg,areaOfInterestA_v2,Multi Polygon,1,1,"(-69.165602, 9.790538) - (-66.194695, 10.848623)",{},
AOI00_GRM_v2,EMSR884_AOI00_GRM_PRODUCT_v2.zip,EMSR884_AOI00_GRM_PRODUCT_v2.gpkg,groundMovementA_v2,Multi Polygon,26166,26166,"(-69.165602, 9.790538) - (-66.255588, 10.805410)",{},
AOI00_GRM_v2,EMSR884_AOI00_GRM_PRODUCT_v2.zip,EMSR884_AOI00_GRM_PRODUCT_v2.gpkg,imageFootprintA_v2,Multi Polygon,4,4,"(-70.725354, 9.368183) - (-66.254160, 12.228155)",{},
AOI00_GRM_v2,EMSR884_AOI00_GRM_PRODUCT_v2.zip,EMSR884_AOI00_GRM_PRODUCT_v2.gpkg,notAnalysedA_v2,Multi Polygon,1,1,"(-69.151797, 9.810542) - (-66.194695, 10.848623)",{},
AOI02_GRA_v1,EMSR884_AOI02_GRA_PRODUCT_v1.zip,EMSR884_AOI02_GRA_PRODUCT_v1.gpkg,areaOfInterestA_v1,Multi Polygon,1,1,"(-66.952076, 10.395551) - (-66.853819, 10.531263)",{},
AOI02_GRA_v1,EMSR884_AOI02_GRA_PRODUCT_v1.zip,EMSR884_AOI02_GRA_PRODUCT_v1.gpkg,builtUpA_v1,Multi Polygon,17,17,"(-66.936644, 10.409459) - (-66.867673, 10.491243)","{""Possibly damaged"":17}",
AOI02_GRA_v1,EMSR884_AOI02_GRA_PRODUCT_v1.zip,EMSR884_AOI02_GRA_PRODUCT_v1.gpkg,imageFootprintA_v1,Multi Polygon,4,4,"(-66.952988, 10.394674) - (-66.846275, 10.533958)",{},
AOI02_GRA_v1,EMSR884_AOI02_GRA_PRODUCT_v1.zip,EMSR884_AOI02_GRA_PRODUCT_v1.gpkg,notAnalysedA_v1,Multi Polygon,24,24,"(-66.952076, 10.399620) - (-66.854098, 10.531263)",{},
AOI02_GRA_v1,EMSR884_AOI02_GRA_PRODUCT_v1.zip,EMSR884_AOI02_GRA_PRODUCT_v1.gpkg,transportationL_v1,Multi Line String,9135,9135,"(-66.951225, 10.395830) - (-66.853884, 10.530529)","{""No visible damage"":3431,""Not Analysed"":5704}",
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,EMSR884_AOI02_GRA_MONIT01_v1.gpkg,ancillaryCrisisInfoP_v1,Point,2,2,"(-66.898819, 10.515125) - (-66.898321, 10.515235)",{},
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,EMSR884_AOI02_GRA_MONIT01_v1.gpkg,areaOfInterestA_v1,Multi Polygon,1,1,"(-66.952076, 10.395551) - (-66.853819, 10.531263)",{},
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,EMSR884_AOI02_GRA_MONIT01_v1.gpkg,builtUpP_v1,Point,20,20,"(-66.924846, 10.513412) - (-66.898193, 10.515474)","{""Destroyed"":3,""Possibly damaged"":17}",
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,EMSR884_AOI02_GRA_MONIT01_v1.gpkg,imageFootprintA_v1,Multi Polygon,4,4,"(-66.952988, 10.394674) - (-66.852076, 10.531488)",{},
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,EMSR884_AOI02_GRA_MONIT01_v1.gpkg,notAnalysedA_v1,Multi Polygon,22,22,"(-66.941533, 10.395551) - (-66.860884, 10.505579)",{},
AOI02_GRA_MONIT01_v2,EMSR884_AOI02_GRA_MONIT01_v2.zip,EMSR884_AOI02_GRA_MONIT01_v1.gpkg,transportationL_v1,Multi Line String,9683,9683,"(-66.951225, 10.395830) - (-66.853884, 10.530529)","{""Destroyed"":1,""No visible damage"":8993,""Not Analysed"":689}",
AOI05_GRA_v1,EMSR884_AOI05_GRA_PRODUCT_v1.zip,EMSR884_AOI05_GRA_PRODUCT_v1.gpkg,areaOfInterestA_v1,Multi Polygon,1,1,"(-67.599878, 10.103423) - (-67.431209, 10.237193)",{},
AOI05_GRA_v1,EMSR884_AOI05_GRA_PRODUCT_v1.zip,EMSR884_AOI05_GRA_PRODUCT_v1.gpkg,builtUpP_v1,Point,3,3,"(-67.481101, 10.212395) - (-67.480894, 10.212580)","{""Destroyed"":3}",
AOI05_GRA_v1,EMSR884_AOI05_GRA_PRODUCT_v1.zip,EMSR884_AOI05_GRA_PRODUCT_v1.gpkg,imageFootprintA_v1,Multi Polygon,3,3,"(-67.599885, 10.103412) - (-67.424175, 10.241957)",{},
AOI05_GRA_v1,EMSR884_AOI05_GRA_PRODUCT_v1.zip,EMSR884_AOI05_GRA_PRODUCT_v1.gpkg,transportationL_v1,Multi Line String,7347,7347,"(-67.596997, 10.105790) - (-67.431236, 10.237117)","{""No visible damage"":5104,""Not Analysed"":2243}",
AOI06_GRA_MONIT01_v2,EMSR884_AOI06_GRA_MONIT01_v2.zip,EMSR884_AOI06_GRA_MONIT01_v1.gpkg,areaOfInterestA_v1,Multi Polygon,1,1,"(-68.252655, 10.464787) - (-68.145184, 10.518959)",{},
AOI06_GRA_MONIT01_v2,EMSR884_AOI06_GRA_MONIT01_v2.zip,EMSR884_AOI06_GRA_MONIT01_v1.gpkg,builtUpP_v1,Point,96,96,"(-68.250108, 10.467529) - (-68.182479, 10.515978)","{""Damaged"":39,""Destroyed"":8,""Possibly damaged"":49}",
AOI06_GRA_MONIT01_v2,EMSR884_AOI06_GRA_MONIT01_v2.zip,EMSR884_AOI06_GRA_MONIT01_v1.gpkg,imageFootprintA_v1,Multi Polygon,3,3,"(-68.252655, 10.464789) - (-68.145184, 10.518959)",{},
