id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00001,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.584247934899329,-67.08355866523489,"https://www.google.com/maps/search/?api=1&query=10.584247934899329,-67.08355866523489"
ems_00002,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.588731670884956,-67.050669150295,"https://www.google.com/maps/search/?api=1&query=10.588731670884956,-67.050669150295"
ems_00003,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.6017854115,-67.03119532849999,"https://www.google.com/maps/search/?api=1&query=10.6017854115,-67.03119532849999"
ems_00004,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.602195192222222,-67.03000936444444,"https://www.google.com/maps/search/?api=1&query=10.602195192222222,-67.03000936444444"
ems_00005,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,3,10.602052206000002,-67.0244288472,"https://www.google.com/maps/search/?api=1&query=10.602052206000002,-67.0244288472"
ems_00006,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.602834119999999,-67.03037675636364,"https://www.google.com/maps/search/?api=1&query=10.602834119999999,-67.03037675636364"
ems_00007,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.602875056086956,-67.02951927652174,"https://www.google.com/maps/search/?api=1&query=10.602875056086956,-67.02951927652174"
ems_00008,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.602867767777777,-67.02664012333334,"https://www.google.com/maps/search/?api=1&query=10.602867767777777,-67.02664012333334"
ems_00009,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60337987375,-67.02775086,"https://www.google.com/maps/search/?api=1&query=10.60337987375,-67.02775086"
ems_00010,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.603611574,-67.030110646,"https://www.google.com/maps/search/?api=1&query=10.603611574,-67.030110646"
ems_00011,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.60436128986619,-67.0203681198751,"https://www.google.com/maps/search/?api=1&query=10.60436128986619,-67.0203681198751"
ems_00012,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.606215724090909,-67.02149627704546,"https://www.google.com/maps/search/?api=1&query=10.606215724090909,-67.02149627704546"
ems_00013,EMSR884_AOI12_GRA_v1,11-Residential Buildings,997-Not Applicable,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,3,10.606247440675675,-67.02343160202703,"https://www.google.com/maps/search/?api=1&query=10.606247440675675,-67.02343160202703"
