id,source_id,damage_gra,damage_class,damage_percent,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,damaged,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_caraballeda_00001,365,Damaged,external-predicted-damaged,9.6,0.096358,0.096358,0.014658,0.005827,0.771624,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6058425,-66.8537822,"https://www.google.com/maps/search/?api=1&query=10.6058425,-66.8537822"
msft_caraballeda_00002,741,Damaged,external-predicted-damaged,3.2,0.032258,0.032258,0.001726,0.000585,0.129032,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6070639,-66.8541815,"https://www.google.com/maps/search/?api=1&query=10.6070639,-66.8541815"
msft_caraballeda_00003,1334,Damaged,external-predicted-damaged,4.6,0.046247,0.000395,0.046247,0.020493,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6060199,-66.8585348,"https://www.google.com/maps/search/?api=1&query=10.6060199,-66.8585348"
msft_caraballeda_00004,1798,Damaged,external-predicted-damaged,2.3,0.023373,0.02008,0.023373,0.008168,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6080617,-66.8617845,"https://www.google.com/maps/search/?api=1&query=10.6080617,-66.8617845"
msft_caraballeda_00005,1811,Damaged,external-predicted-damaged,2.3,0.023457,0.023457,0.019389,0.007261,0.275309,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6081496,-66.8616904,"https://www.google.com/maps/search/?api=1&query=10.6081496,-66.8616904"
msft_caraballeda_00006,1892,Damaged,external-predicted-damaged,0.5,0.004551,0.004551,0.003157,0.001208,0.78157,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6086051,-66.8605678,"https://www.google.com/maps/search/?api=1&query=10.6086051,-66.8605678"
msft_caraballeda_00007,1904,Damaged,external-predicted-damaged,3.0,0.030449,0.030449,0.003827,0.001367,0.610577,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6086477,-66.8604787,"https://www.google.com/maps/search/?api=1&query=10.6086477,-66.8604787"
msft_caraballeda_00008,2219,Damaged,external-predicted-damaged,0.4,0.004229,0.002336,0.004229,0.003165,0.827103,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6101129,-66.8600207,"https://www.google.com/maps/search/?api=1&query=10.6101129,-66.8600207"
msft_caraballeda_00009,2222,Damaged,external-predicted-damaged,12.4,0.12426,0.12426,0.012856,0.004143,0.556213,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6102117,-66.8599837,"https://www.google.com/maps/search/?api=1&query=10.6102117,-66.8599837"
msft_caraballeda_00010,2364,Damaged,external-predicted-damaged,0.7,0.006843,0.00681,0.006843,0.003026,0.641317,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6102805,-66.8598831,"https://www.google.com/maps/search/?api=1&query=10.6102805,-66.8598831"
msft_caraballeda_00011,2404,Damaged,external-predicted-damaged,2.2,0.02157,0.02157,0.0051,0.00201,0.670406,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6108029,-66.8604583,"https://www.google.com/maps/search/?api=1&query=10.6108029,-66.8604583"
msft_caraballeda_00012,2450,Damaged,external-predicted-damaged,0.5,0.005424,0.005424,0.001942,0.000803,0.223051,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6105232,-66.8554265,"https://www.google.com/maps/search/?api=1&query=10.6105232,-66.8554265"
msft_caraballeda_00013,2530,Damaged,external-predicted-damaged,0.2,0.002331,0.002331,0.000341,0.000136,0.670552,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6111233,-66.860368,"https://www.google.com/maps/search/?api=1&query=10.6111233,-66.8603680"
msft_caraballeda_00014,2592,Damaged,external-predicted-damaged,0.4,0.003697,0.000595,0.003697,0.001534,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6116035,-66.8608967,"https://www.google.com/maps/search/?api=1&query=10.6116035,-66.8608967"
msft_caraballeda_00015,2773,Damaged,external-predicted-damaged,7.8,0.07767,0.07767,0.003481,0.005734,0.621359,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6124203,-66.8618433,"https://www.google.com/maps/search/?api=1&query=10.6124203,-66.8618433"
msft_caraballeda_00016,2825,Damaged,external-predicted-damaged,30.8,0.307692,0.307692,0.203125,0.109168,0.357928,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6125112,-66.8548403,"https://www.google.com/maps/search/?api=1&query=10.6125112,-66.8548403"
msft_caraballeda_00017,2831,Damaged,external-predicted-damaged,59.8,0.59799,0.59799,0.458455,0.177189,0.130653,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6126628,-66.8548613,"https://www.google.com/maps/search/?api=1&query=10.6126628,-66.8548613"
msft_caraballeda_00018,2834,Damaged,external-predicted-damaged,64.2,0.641791,0.641791,0.344966,0.168586,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6126981,-66.8549832,"https://www.google.com/maps/search/?api=1&query=10.6126981,-66.8549832"
msft_caraballeda_00019,2855,Damaged,external-predicted-damaged,41.1,0.410876,0.410876,0.223383,0.108449,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6127405,-66.8548983,"https://www.google.com/maps/search/?api=1&query=10.6127405,-66.8548983"
msft_caraballeda_00020,2976,Damaged,external-predicted-damaged,6.8,0.067961,0.067961,0.064828,0.022705,0.781553,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6089659,-66.8520901,"https://www.google.com/maps/search/?api=1&query=10.6089659,-66.8520901"
