id,source_id,damage_gra,damage_class,damage_percent,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,damaged,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_catia_east_00001,393,Damaged,external-predicted-damaged,6.8,0.068182,0.068182,0.036103,0.013182,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5267418,-66.9776425,"https://www.google.com/maps/search/?api=1&query=10.5267418,-66.9776425"
msft_catia_east_00002,394,Damaged,external-predicted-damaged,1.7,0.017225,0.002846,0.017225,0.007644,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5267038,-66.9777931,"https://www.google.com/maps/search/?api=1&query=10.5267038,-66.9777931"
msft_catia_east_00003,1114,Damaged,external-predicted-damaged,3.7,0.036989,0.013158,0.036989,0.013657,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5302066,-66.9792914,"https://www.google.com/maps/search/?api=1&query=10.5302066,-66.9792914"
msft_catia_east_00004,1314,Damaged,external-predicted-damaged,5.1,0.050916,0.050916,0.035801,0.01896,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5308097,-66.9811122,"https://www.google.com/maps/search/?api=1&query=10.5308097,-66.9811122"
msft_catia_east_00005,1318,Damaged,external-predicted-damaged,4.2,0.041768,0.005089,0.041768,0.019635,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5308915,-66.9810597,"https://www.google.com/maps/search/?api=1&query=10.5308915,-66.9810597"
msft_catia_east_00006,1333,Damaged,external-predicted-damaged,8.5,0.085409,0.085409,0.032571,0.02113,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5309384,-66.9809602,"https://www.google.com/maps/search/?api=1&query=10.5309384,-66.9809602"
msft_catia_east_00007,1381,Damaged,external-predicted-damaged,2.7,0.026506,0.026506,0.013076,0.019427,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5307792,-66.9809022,"https://www.google.com/maps/search/?api=1&query=10.5307792,-66.9809022"
msft_catia_east_00008,1495,Damaged,external-predicted-damaged,4.5,0.045455,0.045455,0.011131,0.004285,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5311543,-66.9816859,"https://www.google.com/maps/search/?api=1&query=10.5311543,-66.9816859"
msft_catia_east_00009,1503,Damaged,external-predicted-damaged,2.8,0.028409,0.028409,0.003204,0.001192,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.531191,-66.9814249,"https://www.google.com/maps/search/?api=1&query=10.5311910,-66.9814249"
msft_catia_east_00010,1901,Damaged,external-predicted-damaged,11.1,0.110619,0.110619,0.031459,0.012109,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5933727,-66.9707241,"https://www.google.com/maps/search/?api=1&query=10.5933727,-66.9707241"
msft_catia_east_00011,1902,Damaged,external-predicted-damaged,14.7,0.146789,0.146789,0.040663,0.014203,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5933813,-66.9708287,"https://www.google.com/maps/search/?api=1&query=10.5933813,-66.9708287"
msft_catia_east_00012,1918,Damaged,external-predicted-damaged,1.9,0.018585,0.015974,0.018585,0.007499,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5935504,-66.9691482,"https://www.google.com/maps/search/?api=1&query=10.5935504,-66.9691482"
msft_catia_east_00013,2076,Damaged,external-predicted-damaged,19.6,0.196078,0.196078,0.041082,0.01254,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5930789,-66.9726628,"https://www.google.com/maps/search/?api=1&query=10.5930789,-66.9726628"
msft_catia_east_00014,2293,Damaged,external-predicted-damaged,24.5,0.244582,0.244582,0.026098,0.00959,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5938798,-66.9711122,"https://www.google.com/maps/search/?api=1&query=10.5938798,-66.9711122"
msft_catia_east_00015,2342,Damaged,external-predicted-damaged,25.1,0.250653,0.250653,0.030047,0.011261,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.5936408,-66.9701607,"https://www.google.com/maps/search/?api=1&query=10.5936408,-66.9701607"
