id,source_id,damage_gra,damage_class,damage_percent,max_damage_pct,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,damaged,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_la_guaira_00001,530,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.457005,0.233978,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6007247,-66.9139069,"https://www.google.com/maps/search/?api=1&query=10.6007247,-66.9139069"
msft_la_guaira_00002,554,Damaged,external-predicted-damaged,52.5,0.525412,0.525412,0.418681,0.215857,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6008314,-66.9139382,"https://www.google.com/maps/search/?api=1&query=10.6008314,-66.9139382"
msft_la_guaira_00003,813,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.382254,0.177152,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6052663,-66.8880218,"https://www.google.com/maps/search/?api=1&query=10.6052663,-66.8880218"
msft_la_guaira_00004,847,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.600441,0.409586,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6042345,-66.8832882,"https://www.google.com/maps/search/?api=1&query=10.6042345,-66.8832882"
msft_la_guaira_00005,848,Damaged,external-predicted-damaged,96.0,0.959821,0.959821,0.687534,0.386702,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6042561,-66.8832191,"https://www.google.com/maps/search/?api=1&query=10.6042561,-66.8832191"
msft_la_guaira_00006,850,Damaged,external-predicted-damaged,69.5,0.694581,0.694581,0.482119,0.371701,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6042646,-66.8833759,"https://www.google.com/maps/search/?api=1&query=10.6042646,-66.8833759"
msft_la_guaira_00007,851,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.720691,0.470408,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6042858,-66.883318,"https://www.google.com/maps/search/?api=1&query=10.6042858,-66.8833180"
msft_la_guaira_00008,853,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.868309,0.500253,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6043308,-66.8832628,"https://www.google.com/maps/search/?api=1&query=10.6043308,-66.8832628"
msft_la_guaira_00009,854,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.861111,0.442753,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6043204,-66.8832157,"https://www.google.com/maps/search/?api=1&query=10.6043204,-66.8832157"
msft_la_guaira_00010,856,Damaged,external-predicted-damaged,67.9,0.679083,0.679083,0.417627,0.283616,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6043754,-66.8834222,"https://www.google.com/maps/search/?api=1&query=10.6043754,-66.8834222"
msft_la_guaira_00011,867,Damaged,external-predicted-damaged,59.7,0.596774,0.596774,0.561789,0.376283,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6044078,-66.8833596,"https://www.google.com/maps/search/?api=1&query=10.6044078,-66.8833596"
msft_la_guaira_00012,1204,Damaged,external-predicted-damaged,100.0,1.0,1.0,0.826647,0.33617,0.0,1,external-model-prediction,Microsoft AI for Good Lab via HDX,10.6055822,-66.8973642,"https://www.google.com/maps/search/?api=1&query=10.6055822,-66.8973642"
